user,park,rating,activity
361198577555,664755005,1,nature
83306697282,664755005,1,nature
776020893017,664755005,1,nature
909027755882,664755005,1,nature
890927718227,664755005,1,nature
662678289195,664755005,1,nature
5872256163,664755005,1,nature
81203834902,664755005,1,nature
767997181575,664755005,1,nature
743965612271,664755005,1,nature
748096265832,664755005,1,nature
635960639897,664755005,1,nature
195151066004,664755005,1,nature
85639202967,664755005,1,nature
171340544027,664755005,1,nature
859108427065,664755005,1,nature
831824742192,664755005,1,nature
9081110366,664755005,1,nature
723034698264,664755005,1,nature
987601321427,664755005,1,nature
879403912789,664755005,1,nature
55621699154,664755005,1,nature
361186174055,664755005,1,nature
672054977563,664755005,1,nature
361198577555,51260440,1,nature
650142609016,51260440,1,nature
776020893017,51260440,1,nature
211464624979,51260440,1,nature
476309638122,51260440,1,nature
248217946264,51260440,1,nature
772299367454,51260440,1,nature
467453501208,51260440,1,nature
580259858756,51260440,1,nature
521037369836,51260440,1,nature
422394599806,51260440,1,nature
7275626642,51260440,1,nature
172242220137,51260440,1,nature
105840063946,51260440,1,nature
503963108917,51260440,1,nature
226684243401,51260440,1,nature
320706554904,51260440,1,nature
13953438021,51260440,1,nature
61602460086,51260440,1,nature
767997181575,51260440,1,nature
691780779257,51260440,1,nature
890614205706,51260440,1,nature
227585067010,51260440,1,nature
369024496429,51260440,1,nature
688416029023,51260440,1,nature
501359824741,51260440,1,nature
794654399674,51260440,1,nature
492856436230,51260440,1,nature
64752537237,51260440,1,nature
536688923657,51260440,1,nature
741758500495,51260440,1,nature
335424501640,51260440,1,nature
195837615024,51260440,1,nature
195284713042,51260440,1,nature
569555987189,51260440,1,nature
770947517496,51260440,1,nature
119715322739,51260440,1,nature
501676100679,51260440,1,nature
427613514735,51260440,1,nature
112728850456,51260440,1,nature
950504733078,51260440,1,nature
10928272356,51260440,1,nature
55621699154,51260440,1,nature
144233760481,51260440,1,nature
818523142296,11127855,1,nature
586502439550,11127855,1,nature
240735348688,11127855,1,nature
890927718227,11127855,1,nature
961201226424,11127855,1,nature
320706554904,11127855,1,nature
879082927873,11127855,1,nature
982569557824,11127855,1,nature
405600801971,11127855,1,nature
314584672337,11127855,1,nature
479894181680,11127855,1,nature
94413055980,11127855,1,nature
228776903309,11127855,1,nature
646586542531,11127855,1,nature
859108427065,11127855,1,nature
831163954486,11127855,1,nature
355655345616,11127855,1,nature
223468905344,11127855,1,nature
578185404682,11127855,1,nature
818523142296,1384127,1,nature
522093561629,1384127,1,nature
476309638122,1384127,1,nature
909027755882,1384127,1,nature
772299367454,1384127,1,nature
673395563356,1384127,1,nature
890927718227,1384127,1,nature
153723140132,1384127,1,nature
636248457930,1384127,1,nature
961358352930,1384127,1,nature
5872256163,1384127,1,nature
405600801971,1384127,1,nature
267733820123,1384127,1,nature
85639202967,1384127,1,nature
53060971822,1384127,1,nature
195837615024,1384127,1,nature
569555987189,1384127,1,nature
553307826521,1384127,1,nature
987601321427,1384127,1,nature
875515633371,1384127,1,nature
112728850456,1384127,1,nature
950504733078,1384127,1,nature
236154775068,1384127,1,nature
83306697282,1030729521,1,nature
986396736566,1030729521,1,nature
83306697282,4082666,1,nature
361186174055,4082666,1,nature
979989478027,5095245,1,nature
885991735809,5095245,1,nature
979989478027,4946747,1,nature
890614205706,4946747,1,nature
195151066004,4946747,1,nature
990636100974,4946747,1,nature
979989478027,4899546,1,nature
979989478027,300330159,1,nature
989260491162,300330159,1,nature
979989478027,30170658,1,nature
772299367454,30170658,1,nature
961201226424,30170658,1,nature
563547318815,30170658,1,nature
704820923557,30170658,1,nature
244546452823,30170658,1,nature
80721093851,30170658,1,nature
667902873596,30170658,1,nature
776020893017,372975520,1,nature
476309638122,372975520,1,nature
9512864709,372975520,1,nature
304489355501,372975520,1,nature
467453501208,372975520,1,nature
120855557223,372975520,1,nature
240735348688,372975520,1,nature
422394599806,372975520,1,nature
441636520717,372975520,1,nature
961201226424,372975520,1,nature
636248457930,372975520,1,nature
563547318815,372975520,1,nature
320706554904,372975520,1,nature
96864364536,372975520,1,nature
13953438021,372975520,1,nature
918707154841,372975520,1,nature
227585067010,372975520,1,nature
405600801971,372975520,1,nature
557472134123,372975520,1,nature
267733820123,372975520,1,nature
280026690554,372975520,1,nature
228776903309,372975520,1,nature
794654399674,372975520,1,nature
492856436230,372975520,1,nature
171340544027,372975520,1,nature
831824742192,372975520,1,nature
53060971822,372975520,1,nature
195837615024,372975520,1,nature
831163954486,372975520,1,nature
195284713042,372975520,1,nature
569555987189,372975520,1,nature
770947517496,372975520,1,nature
553307826521,372975520,1,nature
193176266067,372975520,1,nature
987601321427,372975520,1,nature
875515633371,372975520,1,nature
667902873596,372975520,1,nature
355655345616,372975520,1,nature
578185404682,372975520,1,nature
119715322739,372975520,1,nature
501676100679,372975520,1,nature
112728850456,372975520,1,nature
950504733078,372975520,1,nature
776020893017,22696585,1,nature
691780779257,22696585,1,nature
261139935740,22696585,1,nature
776020893017,23063393,1,nature
890927718227,23063393,1,nature
7275626642,23063393,1,nature
939106541907,23063393,1,nature
195837615024,23063393,1,nature
501676100679,23063393,1,nature
381799406014,23063393,1,nature
522093561629,3986346,1,nature
227585067010,3986346,1,nature
939106541907,3986346,1,nature
231282193767,3986346,1,nature
794654399674,3986346,1,nature
53060971822,3986346,1,nature
667902873596,3986346,1,nature
501676100679,3986346,1,nature
997771522407,3986346,1,nature
522093561629,4045176,1,nature
211464624979,5268462,1,nature
952820971653,5268462,1,nature
476309638122,17939312,1,nature
899134565898,4419221,1,nature
5872256163,4419221,1,nature
960205792058,4419221,1,nature
899134565898,482276804,1,nature
5872256163,482276804,1,nature
743965612271,482276804,1,nature
260447874823,482276804,1,nature
865156192541,647782158,1,nature
119262567805,647782158,1,nature
557472134123,647782158,1,nature
248217946264,840130236,1,nature
120855557223,840130236,1,nature
105840063946,840130236,1,nature
636248457930,840130236,1,nature
563547318815,840130236,1,nature
805483462859,840130236,1,nature
18845756594,840130236,1,nature
557472134123,840130236,1,nature
138943124847,840130236,1,nature
231282193767,840130236,1,nature
94413055980,840130236,1,nature
65148419016,840130236,1,nature
195837615024,840130236,1,nature
569555987189,840130236,1,nature
381799406014,840130236,1,nature
909027755882,536499671,1,nature
85639202967,536499671,1,nature
926267623587,536499671,1,nature
355655345616,536499671,1,nature
909027755882,4481793,1,nature
739044006902,4481793,1,nature
86374395012,4481793,1,nature
586502439550,102469671,1,nature
586502439550,4483968,1,nature
159318839237,4483968,1,nature
559724750646,4483968,1,nature
422394599806,4483968,1,nature
441636520717,4483968,1,nature
563547318815,4483968,1,nature
61602460086,4483968,1,nature
720924364456,4483968,1,nature
761243686663,4483968,1,nature
939106541907,4483968,1,nature
314584672337,4483968,1,nature
231282193767,4483968,1,nature
94413055980,4483968,1,nature
195151066004,4483968,1,nature
492856436230,4483968,1,nature
472989158679,4483968,1,nature
875515633371,4483968,1,nature
528917950228,4483968,1,nature
369904705482,4483968,1,nature
381799406014,4483968,1,nature
299020539446,4483968,1,nature
676933223210,8137262,1,nature
304489355501,8137262,1,nature
662678289195,8137262,1,nature
61602460086,8137262,1,nature
691780779257,8137262,1,nature
748096265832,8137262,1,nature
94413055980,8137262,1,nature
492856436230,8137262,1,nature
960205792058,8137262,1,nature
770947517496,8137262,1,nature
772299367454,158748808,1,nature
512412989577,158748808,1,nature
396775253471,158748808,1,nature
741758500495,158748808,1,nature
55621699154,158748808,1,nature
144233760481,158748808,1,nature
467453501208,7878338,1,nature
120855557223,7878338,1,nature
7275626642,7878338,1,nature
805483462859,7878338,1,nature
667902873596,7878338,1,nature
236154775068,7878338,1,nature
299020539446,7878338,1,nature
120855557223,4264324,1,nature
299020539446,4264324,1,nature
580259858756,5976819,1,nature
580259858756,248677008,1,nature
580259858756,11300063,1,nature
564599407447,11300063,1,nature
517464898590,11300063,1,nature
824353309904,11300063,1,nature
386152746890,11300063,1,nature
428236772950,11300063,1,nature
521037369836,3225813,1,nature
521037369836,3225814,1,nature
521037369836,8125006,1,nature
673395563356,17999028,1,nature
172242220137,17366817,1,nature
918707154841,17366817,1,nature
369904705482,17366817,1,nature
172242220137,188492303,1,nature
564599407447,399259442,1,nature
768561717124,399259442,1,nature
226684243401,399259442,1,nature
324448965208,399259442,1,nature
231282193767,399259442,1,nature
721015805247,399259442,1,nature
9081110366,399259442,1,nature
926267623587,399259442,1,nature
355655345616,399259442,1,nature
563304711076,18936361,1,nature
563304711076,926396833,1,nature
191582709840,41407314,1,nature
80721093851,41407314,1,nature
371081282643,10713712,1,nature
117188245336,10713712,1,nature
997771522407,10713712,1,nature
662678289195,7789731,1,nature
662678289195,4097476,1,nature
374799004218,4097476,1,nature
86374395012,4097476,1,nature
937294878192,25732805,1,nature
105840063946,51346448,1,nature
105840063946,24168016,1,nature
105840063946,791536724,1,nature
961358352930,863554956,1,nature
168467087148,863554956,1,nature
5872256163,190922880,1,nature
119851607776,14351765,1,nature
897886012028,374960368,1,nature
